0,BORCHMEYER,NULL,Erich,Men
1,ILMAN,Steven,Gary,Men
2,ARMSTRONG,E.,Lance,Men
3,PINANGO,Jose,Bernardo,Men
4,SILVA,NULL,Juliana,Women
5,FITCH,Lord,Alfred,Men
6,JANG,NULL,Miran,Women
7,LEPSOË,NULL,Kristoffer,Men
8,SAHLSTEIN,Werner,Einar,Men
9,SANDENO,NULL,Kaitlin,Women
10,HELSER,Merserau,Brenda,Women
11,ZANINOVIC,NULL,Lucija,Women
12,SMABERS,NULL,Minke,Women
13,DAVIES,Joy,Judith,Women
14,DOBERSCHÜTZ,NULL,Gerlinde,Women
15,REED,NULL,Pete,Men
16,BROBEN,NULL,Brittany,Women
17,BAILEY,NULL,Donovan,Men
18,DIXON,NULL,Medina,Women
19,ROMERO,NULL,Yoel,Men
20,SJÖLIN,NULL,Stig,Men
21,NUMAN,NULL,Henk,Men
22,WEIGEL,NULL,Ronald,Men
23,GEORGIEVA,NULL,Kapka,Women
24,VOELKER,NULL,Sandra,Women
25,SEMPLE,NULL,Frederick,Men
26,SUZUKI,NULL,Satomi,Women
27,CALVERT,NULL,Axel,Men
28,BODIROGA,NULL,Dejan,Men
29,LUKOSIK,NULL,Andrej,Men
30,MALLENIUS,Aarno,Erkki,Men
31,FERNANDEZ,NULL,Rudy,Men
32,CORBITT,NULL,Gregory,Men
33,HALLBERG,NULL,Ernst,Men
34,STUECKELBERGER,NULL,Christine,Women
35,SILVA,NULL,Thiago,Men
36,TESTA,NULL,Franco,Men
37,KHAN,Ali,Shahid,Men
38,SELES,NULL,Monica,Women
39,ROMASHINA,NULL,Svetlana,Women
40,SALMINEN,NULL,Ilmari,Men
41,SUN,NULL,Wenyan,Women
42,MEYER,NULL,Deborah,Women
43,SMITH,NULL,Colin,Men
44,GERSCHAU,NULL,Kerstin,Women
45,LOFTUS,NULL,Glen,Men
46,ANKERMAN,Geert,Jan,Men
47,GOYETTE,Lee,Cynthia,Women
48,KUSZEWSKI,Zygmunt,Marian,Men
49,CRAPP,Joyce,Lorraine,Women
50,GOPOVA-TROFIMOVA,NULL,Nina,Women
51,ANTTILA,NULL,Kalle,Men
52,MEGYERI,NULL,Marta,Women
53,STEBBINS,Vaughn,Richard,Men
54,SWAAB,NULL,Ninna,Women
55,GREPPERUD,Magnus,Hans,Men
56,WIDE,NULL,Edvin,Men
57,HINDORFF,NULL,Martin,Men
58,SHEEN,Mary,Gillian,Women
59,FÜLLE,NULL,Siegfried,Men
60,DAVIES,Joan,Patricia,Women
61,HANSEN,NULL,Trine,Women
62,DITLEV-SIMONSEN,Jr.,Olaf Christian,Men
