- 56KG (Bantamweight) Wrestling,Wrestling
300+600M Free Rifle Team Prone Shooting,Shooting
1980 Yards Pursuit Team Cycling,Cycling
4X200M Freestyle Aquatics,Aquatics
Rs:X Sailing,Sailing
50M Rifle 3 Positions (3X20 Shots) Shooting,Shooting
8M (Rating 1907) Sailing,Sailing
Army Rifle 300M 3 Positions Shooting,Shooting
25M Rapid Pistol Shooting,Shooting
Heavyweight - One Hand Lift Weightlifting,Weightlifting
- 54KG Total (Flyweight) Weightlifting,Weightlifting
Shot Put Athletics,Athletics
62 - 68KG (Lightweight) Wrestling,Wrestling
50M Running Target (30+30 Shots) Shooting,Shooting
52 - 57KG (Bantamweight) Wrestling,Wrestling
74 - 84KG Wrestling,Wrestling
Single-Handed Dinghy (Finn) Sailing,Sailing
66.6 - 73KG (Middleweight) Wrestling,Wrestling
Double Rackets,Rackets
50M Pistol (60 Shots) Shooting,Shooting
Marathon Athletics,Athletics
50M Small Bore Rifle Standing Individual Shooting,Shooting
+ 93KG (Heavyweight) Judo,Judo
Olympic Class Monotype Sailing,Sailing
57 - 62KG (Featherweight) Wrestling,Wrestling
57 - 63KG (Half-Middleweight) Judo,Judo
54 - 58KG Wrestling,Wrestling
2 Miles (3.218KM) Cycling,Cycling
Fixed Bird Target Small Birds Archery,Archery
Eight With Coxswain Rowing,Rowing
K-4 1000M (Kayak Four) Canoe / Kayak,Canoe / Kayak
25M Rapid Fire Pistol (60 Shots) Shooting,Shooting
Moving Bird Target 33M Archery,Archery
Synchronized 3M Aquatics,Aquatics
Tumbling Gymnastics,Gymnastics
+ 73KG (Heavyweight) Wrestling,Wrestling
54 - 58KG (Featherweight) Boxing,Boxing
+ 100KG Judo,Judo
Fixed Bird Target Large Birds Archery,Archery
Star - Keelboat Sailing,Sailing
Individual All-Round Gymnastics,Gymnastics
12M (Rating 1919) Sailing,Sailing
Foil Individual Fencing,Fencing
Coxless Four (4-) Rowing,Rowing
- 48KG (Extra-Lightweight) Judo,Judo
100M Running Deer Double Shots Team Shooting,Shooting
81 - 90KG Judo,Judo
200M Team Swimming Aquatics,Aquatics
25M Army Pistol Shooting,Shooting
Triple Jump Athletics,Athletics
Group Competition Gymnastics,Gymnastics
Basketball Basketball,Basketball
National Round (60Y - 50Y) Archery,Archery
63 - 72KG Wrestling,Wrestling
25 Kilometres Cycling,Cycling
880Y Freestyle (804.66M) Aquatics,Aquatics
Duet Aquatics,Aquatics
- 55KG Wrestling,Wrestling
- 48KG Wrestling,Wrestling
Pole Vault Athletics,Athletics
72 - 79KG (Middleweight) Wrestling,Wrestling
Floor Exercises Gymnastics,Gymnastics
68 - 74KG (Welterweight) Wrestling,Wrestling
3M Springboard Aquatics,Aquatics
Individual Road Cycling,Cycling
K-1 (Single) Canoe,Canoe
25M Pistol Shooting,Shooting
- 66.6KG (Lightweight) Wrestling,Wrestling
Continental Style 50M Archery,Archery
1200M Freestyle Aquatics,Aquatics
97 - 130KG Wrestling,Wrestling
Foil Team Fencing,Fencing
50.8 - 54KG (Bantamweight) Boxing,Boxing
