12210,Sydney 2000,NOR
20371,London 2012,GBR
7236,Amsterdam 1928,FRA
6451,Tokyo 1964,USA
1966,Munich 1972,POL
19426,Tokyo 1964,EUA
3411,Stockholm 1912,GBR
3360,Mexico 1968,FRG
15611,Sydney 2000,CUB
11282,Berlin 1936,FRA
18780,Moscow 1980,GDR
19998,Atlanta 1996,RUS
19551,Beijing 2008,NGR
11743,Beijing 2008,USA
13630,Athens 2004,KAZ
6594,London 1908,USA
16136,Seoul 1988,POL
8578,Moscow 1980,URS
4936,Beijing 2008,CUB
2136,London 2012,RUS
10586,Sydney 2000,LAT
4375,Los Angeles 1984,FRG
517,Atlanta 1996,RUS
9356,Berlin 1936,IND
4443,Atlanta 1996,HUN
22391,Antwerp 1920,BEL
6627,Sydney 2000,BLR
14451,Montreal 1976,MEX
4223,Beijing 2008,BRA
11388,Athens 2004,ITA
16363,Antwerp 1920,DEN
3185,Athens 2004,KOR
16984,Los Angeles 1984,BRA
15467,Athens 2004,HUN
21809,Atlanta 1996,CUB
14941,Antwerp 1920,NOR
19233,Los Angeles 1984,ROU
13191,Seoul 1988,ROU
3391,Sydney 2000,ESP
12454,Athens 2004,NED
2970,Los Angeles 1984,FRA
1795,Stockholm 1912,GER
13515,London 1948,POR
17172,London 1948,YUG
19257,Helsinki 1952,USA
8453,Mexico 1968,FRG
414,Paris 1900,USA
7248,London 1948,HUN
19634,Melbourne / Stockholm 1956,BUL
19146,London 2012,KOR
6220,London 1908,GBR
21023,Amsterdam 1928,ITA
7935,Rome 1960,IRI
13917,London 1908,BEL
5660,Antwerp 1920,DEN
11799,St Louis 1904,CAN
22082,Rome 1960,YUG
282,Atlanta 1996,CAN
17390,Munich 1972,POL
16831,Athens 2004,GER
17978,Stockholm 1912,GBR
132,Helsinki 1952,USA
13654,Moscow 1980,URS
20594,Paris 1924,ROU
21770,London 1948,NOR
15109,Barcelona 1992,SWE
4382,London 1908,GBR
1166,Los Angeles 1932,SUI
16089,Beijing 2008,ITA
7218,Sydney 2000,BEL
15820,Montreal 1976,GBR
2120,Tokyo 1964,SWE
19328,Helsinki 1952,USA
9053,Stockholm 1912,GBR
18603,London 2012,RUS
10880,London 2012,CAN
2176,Munich 1972,GDR
9330,Antwerp 1920,USA
17029,Paris 1924,SWE
11287,Sydney 2000,IRI
19870,Stockholm 1912,GBR
21846,Atlanta 1996,ESP
21425,Athens 2004,NED
427,Los Angeles 1984,USA
5323,Los Angeles 1984,ROU
21292,London 1948,USA
19541,Rome 1960,POL
13371,Munich 1972,TCH
11075,Moscow 1980,ESP
11528,Sydney 2000,LTU
11426,Sydney 2000,POL
16932,Mexico 1968,URS
17490,Seoul 1988,GDR
5908,Tokyo 1964,ITA
11444,Los Angeles 1932,ITA
457,Berlin 1936,POL
8791,Los Angeles 1984,SWE
17840,Seoul 1988,USA
22721,Moscow 1980,NED
19356,Athens 2004,USA
9679,Atlanta 1996,GER
21570,Antwerp 1920,DEN
8514,Sydney 2000,RUS
16822,Athens 2004,CHN
12498,Paris 1924,GBR
15674,Sydney 2000,JPN
11648,Montreal 1976,URS
7110,Los Angeles 1984,ROU
1945,Tokyo 1964,EUA
8825,Beijing 2008,BLR
18083,Antwerp 1920,NOR
291,Seoul 1988,GDR
14977,Sydney 2000,MDA
1572,Barcelona 1992,EUN
7164,Munich 1972,GDR
158,Beijing 2008,KEN
16731,Athens 2004,RUS
571,Rome 1960,EUA
22337,London 2012,GBR
12931,Antwerp 1920,SUI
4224,Beijing 2008,UKR
10873,Tokyo 1964,NGR
18704,Mexico 1968,NED
4329,Antwerp 1920,CAN
21305,London 2012,CRO
19231,Antwerp 1920,NOR
3923,Atlanta 1996,UKR
2467,Los Angeles 1984,USA
505,Stockholm 1912,USA
3809,Berlin 1936,CAN
21070,Moscow 1980,BUL
12217,Montreal 1976,DEN
1423,Sydney 2000,AUS
1607,Barcelona 1992,CAN
10384,Montreal 1976,URS
13927,Tokyo 1964,HUN
20002,Amsterdam 1928,FRA
18880,Los Angeles 1984,USA
19886,Montreal 1976,ESP
21265,Atlanta 1996,CRO
16406,Sydney 2000,POL
3311,Melbourne / Stockholm 1956,EUA
11953,Berlin 1936,GER
7275,Tokyo 1964,USA
10649,Moscow 1980,URS
8289,Seoul 1988,URS
2590,Athens 2004,SUI
1512,Los Angeles 1932,SWE
16643,Helsinki 1952,YUG
10763,London 1948,GBR
14994,Atlanta 1996,GBR
15414,Atlanta 1996,KOR
6988,Atlanta 1996,ITA
12441,Montreal 1976,URS
11536,Atlanta 1996,HUN
21703,Berlin 1936,TUR
17285,Seoul 1988,URS
2251,Atlanta 1996,FRA
14691,London 1908,NED
20120,Paris 1900,GER
16881,Sydney 2000,AUS
1798,Berlin 1936,GER
11603,London 1908,GBR
13686,Mexico 1968,HUN
11321,Moscow 1980,HUN
14413,Antwerp 1920,FRA
11213,Barcelona 1992,EUN
18685,Sydney 2000,AUS
2832,London 2012,AUS
13080,St Louis 1904,USA
19762,Montreal 1976,GDR
1256,London 2012,USA
7653,Sydney 2000,CRO
